Brand,Model,Engine(cc),Top Speed(kmph),Mileage(kmpl),Rating(out of 5),Review Count,Min Price,Max Price
Benelli,502 C,500.0,175.0,26.52,,,525000.0,525000.0
Triumph,Bonneville Speedmaster,1200.0,161.0,22.22,5.0,1,1205000.0,1285000.0
Kawasaki,Versys 650,649.0,200.0,20.0,,,793000.0,793000.0
Aprilia,RS 660,659.0,230.0,20.4,,,1773999.9999999998,1773999.9999999998
Keeway,K300 R,292.4,150.0,32.0,4.5,2,265000.0,265000.0
Ducati,Multistrada V4,1158.0,180.0,15.4,,,2148000.0,4067000.0
Velev Motors,VEV 01,,25.0,,4.0,1,32500.0,32500.0
BMW,S 1000 R,999.0,200.0,16.12,,,1900000.0,2330000.0
Kawasaki,Z900 RS,948.0,220.0,15.0,,,1747000.0,1747000.0
Gravton Motors,Quanta,,70.0,,,,120000.0,120000.0
Suzuki,Katana,999.0,240.0,23.0,,,1361000.0,1361000.0
Aprilia,RSV4,1099.0,305.0,15.4,,,3126000.0,3126000.0
Zontes,350X,348.0,150.0,36.0,,,299000.0,299000.0
Keeway,K-Light 250V,249.0,125.0,32.0,,,289000.0,309000.0
Triumph,Tiger 1200,1160.0,220.0,19.6,5.0,1,1938000.0,2189000.0
Okinawa,Lite,,25.0,,5.0,1,69093.0,69093.0
Komaki,MX3,,80.0,,,,114999.99999999999,114999.99999999999
Kabira Mobility,KM 3000,,120.0,,,,163000.0,174000.0
Ducati,Hypermotard 950,937.0,316.0,19.6,,,1600000.0,1905000.0
Gemopai,Astrid Lite,,65.0,,,,111000.00000000001,111000.00000000001
BMW,F 900 XR,895.0,200.0,23.8,,,1255000.0,1255000.0
Keeway,Vieste 300,278.2,125.0,21.56,,,299000.0,325000.0
PURE EV,ETrance Neo,,68.0,,,,73999.0,96999.0
Komaki,XGT KM,,28.0,,4.4,5,56890.0,93045.0
Keeway,Sixties 300i,278.2,120.0,27.4,,,299000.0,330000.0
Okaya EV,Faast F2B,,75.0,,,,89999.0,89999.0
Indian,Scout,1133.0,159.0,25.0,,,1782999.9999999998,1832999.9999999998
Kabira Mobility,KM 4000,,120.0,,,,166000.0,176000.0
Lohia,Oma Star,,25.0,,,,51750.0,51750.0
Kawasaki,Ninja 650,649.0,210.0,21.0,4.0,1,727000.0,727000.0
